timestamp,reconstruction_error,inferred_type_multi
2024-10-27 05:55:00,2.8596861,Other Anomaly
2024-10-27 06:00:00,2.8479323,Other Anomaly
2024-10-27 06:05:00,2.8362083,Other Anomaly
2024-10-27 06:10:00,2.8343527,Other Anomaly
2024-10-27 06:15:00,2.806411,Other Anomaly
2024-10-27 06:20:00,2.8025327,Other Anomaly
2024-10-27 06:25:00,2.8046677,Other Anomaly
2024-10-27 06:30:00,2.7672136,Other Anomaly
2024-10-27 06:35:00,2.759675,Other Anomaly
2024-10-27 06:40:00,2.7346961,Other Anomaly
2024-10-27 06:45:00,2.71869,Other Anomaly
2024-10-27 06:50:00,2.7087617,Other Anomaly
2024-10-27 06:55:00,2.6940513,Other Anomaly
2024-10-27 07:00:00,2.6807535,Other Anomaly
2024-10-27 07:05:00,2.637446,Other Anomaly
2024-10-27 07:10:00,2.5965142,Other Anomaly
2024-10-27 07:15:00,2.5768137,Other Anomaly
2024-10-27 07:20:00,2.5669765,Other Anomaly
2024-10-27 07:25:00,2.5449214,Other Anomaly
2024-10-27 07:30:00,2.5092232,Other Anomaly
2024-10-27 07:35:00,2.5017662,Other Anomaly
2024-10-27 07:40:00,2.494956,Other Anomaly
2024-10-27 07:45:00,2.4823341,Other Anomaly
2024-10-27 07:50:00,2.461758,Other Anomaly
2024-10-27 07:55:00,2.4416552,Other Anomaly
2024-10-27 08:00:00,2.374378,Other Anomaly
2024-10-27 08:05:00,2.3333902,Other Anomaly
2024-10-27 08:10:00,2.31257,Other Anomaly
2024-10-27 08:15:00,2.2484074,Other Anomaly
2024-10-27 08:20:00,2.2314246,Other Anomaly
2024-10-27 08:25:00,2.078581,Other Anomaly
2024-10-27 08:30:00,2.0507414,Other Anomaly
2024-10-27 08:35:00,2.0310717,Other Anomaly
2024-10-27 08:40:00,1.9921486,Other Anomaly
2024-10-27 08:45:00,1.9565918,Other Anomaly
2024-10-27 08:50:00,1.9244509,Other Anomaly
2024-10-27 08:55:00,1.9095737,Other Anomaly
2024-10-27 09:00:00,1.8650534,Other Anomaly
2024-10-28 02:25:00,1.8697878,Other Anomaly
2024-10-28 02:30:00,1.9518772,Other Anomaly
2024-10-28 02:35:00,1.957524,Other Anomaly
2024-10-28 02:40:00,1.9656488,Other Anomaly
2024-10-28 02:45:00,1.9766033,Other Anomaly
2024-10-28 02:50:00,1.9889712,Other Anomaly
2024-10-28 02:55:00,2.03467,Other Anomaly
2024-10-28 03:00:00,2.0862672,Other Anomaly
2024-10-28 03:05:00,2.1192372,Other Anomaly
2024-10-28 03:10:00,2.1279578,Other Anomaly
2024-10-28 03:15:00,2.152195,Other Anomaly
2024-10-28 03:20:00,2.174671,Other Anomaly
2024-10-28 03:25:00,2.1760147,Other Anomaly
